Leap Product,Company ObjectId,Account Name,Tier,Plan,Account ID,Agreement: Agreement #,Next Payment Due Date,Start Date,Starting Month,NAICS Code,Primary Classification,New Classifications,Current Number of Licenses,Current Monthly Cost Per License,Current Total Monthly Cost,Total Setup Fee,Total Paid-To-Date,Billing Zip/Postal Code,Billing City,Billing State/Province,Account Owner,Customer Success Manager,Current MRR,Rough Months,Rough LTV,Consolidated Census Bands,Census Bands,Consolidated Bands,# Of Potential Users,Current Leap Users,Current SalesPro Users,Current Leap MRR,Current SalesPro MRR,Account Last Visit,Account Usage Trending,SalesPro Visits Last 30 Days
Leap,zp1rlZ7p45,California Bath Systems LLC,Tier 3,Enterprise 2021,0011K00002FgQ2U,2899,10/22/23,4/22/21,4,not found,Contractors - Building,Construction and Renovation Services,6,125,750,0,"$22,953 ",92020,El Cajon,CA,Yesenia Romero,Yesenia Romero,750,32,24000.0,250+ employees,1000+ employees,10,1,0,6,0,750,12/9/23,Decreasing,0
Leap,1kDPkdMFuI,Edward and Jones,Tier 3,Premium 2021,0011K00002U4IMj,3331,10/11/23,3/11/22,3,not found,Financial Planning & Investments,"Financial, Real Estate, and Consulting Services",1,99,99,1000,"$2,881 ",46250,INDIANAPOLIS,IN,Daniil Lyalko,Kevin Powell,99,21,2079.0,250+ employees,1000+ employees,10,,0,1,0,99,1/0/00,No Change,0
Leap,kDTJdUXSFA,Rehco,Tier 3,Premium 2020,0011K00002JVgzX,2419,10/27/23,3/27/20,3,not found,Contractors - Roofing,Construction and Renovation Services,1,125,125,0,"$5,275 ",,,MD,Francesca Furnells,Francesca Furnells,125,45,5625.0,250+ employees,1000+ employees,10,1,0,1,0,125,11/10/23,Decreasing,0
Leap,BRKRk6Nk8t,Renuity Concrete Coatings,Tier 1,Premium 2021,0011K00002YLXwH,3574,10/31/23,8/31/22,8,not found,Contractors - Building,Construction and Renovation Services,24,99,2376,0,"$23,873 ",,,FL,Yesenia Romero,Yesenia Romero,2376,16,38016.0,250+ employees,1000+ employees,10,,0,24,0,2376,12/11/23,Decreasing,1519
Leap,2ZNy43bdeR,ABC Seamless/Twin City Exteriors,Tier 1,Premium 2021,0011K000022363A,3191,10/10/23,12/10/21,12,not found,Contractors - Building,Construction and Renovation Services,1,99,99,0,"$7,124 ",55369,Maple Grove,MN,Christopher Cielo,Christopher Cielo,99,24,2376.0,250+ employees,500-999 employees,9.5,,0,1,0,99,8/19/23,No Change,0
Leap,iVImAEdTnB,Bath Fitter Inland Northwest,Tier 3,Enterprise 2021,0011K000025kRfl,2903,10/23/23,4/23/21,4,not found,Contractors - Building,Construction and Renovation Services,6,125,750,0,"$25,516 ",99216,Spokane Valley,WA,Yesenia Romero,Yesenia Romero,750,32,24000.0,250+ employees,500-999 employees,9.5,11,0,6,0,750,12/11/23,Decreasing,0
Leap,KliNgCKOdJ,"Bath Saver, dba Bath Fitter",Tier 3,SalesPro Enterprise 2023,0014100001PMmcy,6577,11/4/23,5/4/23,5,not found,Contractors - Building,Construction and Renovation Services,64,68,4352,0,"$25,135 ",17339,Lewisberry,PA,Sydney Stansell,Sydney Stansell,4352,7,30464.0,250+ employees,500-999 employees,9.5,32,0,64,0,4352,12/11/23,Decreasing,9636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leap,bPjAj0Af6c,Florida Home Improvement Associates,Tier 2,Premium 2019,0014100001VA9s6,1571,10/15/23,2/27/19,2,not found,Contractors - Building,Construction and Renovation Services,225,49.5,11137.5,2000,"$567,291 ",33312,Fort Lauderdale,FL,Yesenia Romero,Yesenia Romero,11137.5,58,645975.0,250+ employees,500-999 employees,9.5,200,0,225,0,11137.5,12/11/23,Decreasing,14866
Leap,GCr4VBSivv,"NewSouth Window Solutions, LLC",Tier 1,Premium 2019,00141000012ChGo,1312,10/31/23,7/1/18,7,not found,Glass Products & Services,Design and Interior Services,201,55,11055,2500,"$415,797 ",33610,Tampa,FL,Jordan Kahlenberg,Jordan Kahlenberg,11055,65,718575.0,250+ employees,500-999 employees,9.5,51,0,201,0,11055,12/11/23,Decreasing,20855
Leap,EdAjBufzNM,Reborn Cabinets,Tier 1,Premium 2019,0011K000027SYNX,2249,10/31/23,12/31/19,12,not found,Home Improvement & Remodeling Services,Construction and Renovation Services,167,54,9018,0,"$213,113 ",92806,Anaheim,CA,Jordan Kahlenberg,Jordan Kahlenberg,9018,48,432864.0,250+ employees,500-999 employees,9.5,150,0,167,0,9018,12/8/23,Decreasing,0
Leap,KTrf2D1ZFM,AM Group of Companies,Tier 3,Premium 2019,0011K000027TL5l,1758,10/31/23,4/1/19,4,not found,Contractors - Roofing,Construction and Renovation Services,4,71.5,286,1500,"$95,307 ",N1K 1S3,Guelph,Ont.,Christopher Cielo,Christopher Cielo,286,56,16016.0,250+ employees,250-499 employees,9,31,0,4,0,286,12/1/23,Decreasing,0
Leap,DTSeJ6svou,Home Performance Alliance,Tier 1,SalesPro Enterprise 2023,0014100001kX850,6969,10/23/23,8/23/23,8,not found,Glass Products & Services,Design and Interior Services,93,90,8370,0,"$16,606 ",33716,Ft Meyers,FL,Colton Temanson,Colton Temanson,8370,4,33480.0,250+ employees,250-499 employees,9,11,0,93,0,8370,12/11/23,Decreasing,8113
Leap,Wmr9Uw8mHa,Homefix Custom Remodeling,Tier 1,Enterprise 2021,0014100000VSBhr,3166,10/23/23,11/23/21,11,236118,Contractors - Roofing,Construction and Renovation Services,105,68.7,7213.5,0,"$152,751 ",21045,Columbia,MD,Jordan Kahlenberg,Jordan Kahlenberg,7213.5,25,180337.5,250+ employees,250-499 employees,9,100,0,105,0,7213.5,12/11/23,Decreasing,7027
Leap,ToxTlFRYhD,Inspired Closets of Kansas City,Tier 3,Pro 2021,0011K00002ETHdu,6057,10/28/23,1/28/23,1,not found,Interior Designers & Decorators,Design and Interior Services,1,49,49,0,$501 ,66215,Lenexa,KS,Sydney Phillips,Sydney Phillips,49,11,539.0,250+ employees,250-499 employees,9,6,0,1,0,49,12/9/23,Decreasing,0
Leap,cbtCme42D1,Kitchen Saver,Tier 3,Enterprise 2021,0011K00002J2HFz,2937,10/14/23,5/14/21,5,not found,Home Improvement & Remodeling Services,Construction and Renovation Services,25,100,2500,0,"$70,615 ",21117,Owings Mills,Maryland,Yesenia Romero,Yesenia Romero,2500,31,77500.0,250+ employees,250-499 employees,9,30,0,25,0,2500,12/10/23,Decreasing,2741
Leap,XIMdn1jNvp,My Window Works,Tier 1,Premium 2020,0011K000027SwoT,2680,10/25/23,9/25/20,9,not found,Glass Products & Services,Design and Interior Services,50,55,2750,0,"$102,000 ",60440,Bolingbrook,IL,Jordan Kahlenberg,Jordan Kahlenberg,2750,39,107250.0,250+ employees,250-499 employees,9,50,0,50,0,2750,12/11/23,Decreasing,4584
Leap,TXvAqZbEYW,NEWPRO,Tier 2,SalesPro Enterprise 2023,0014100000XO8ia,6517,10/21/23,4/21/23,4,not found,Glass Products & Services,Design and Interior Services,120,62.5,7500,0,"$49,625 ",1801,Woburn,Massachusetts,Jordan Kahlenberg,Jordan Kahlenberg,7500,8,60000.0,250+ employees,250-499 employees,9,52,0,120,0,7500,12/11/23,Decreasing,24556
Leap,XhAglgE3uX,Northwest Window and Door,Tier 2,Premium 2019,0014100000sBxV3,1240,11/7/23,3/7/18,3,238330,Glass Products & Services,Design and Interior Services,75,54.4,4080,1500,"$258,244 ",23454,Virginia Beach,Virginia,Yesenia Romero,Yesenia Romero,4080,69,281520.0,250+ employees,250-499 employees,9,66,0,75,0,4080,12/11/23,Increasing,9605
Leap,EK3Fz8vuJD,Performance Roof Systems,Tier 2,Premium 2021,0011K00002RUwDY,3283,10/10/23,2/10/22,2,not found,Construction Supplies & Services,Engineering and Technical Services,1,99,99,500,"$2,480 ",,,MI,Sydney Phillips,Sydney Phillips,99,22,2178.0,250+ employees,250-499 employees,9,2,0,1,0,99,11/10/23,Decreasing,0
Leap,0njHSznpZd,"Safe Step Walk In Tub, LLC",Tier 3,Premium 2019,0011K00002EPy6P,2316,11/5/23,2/5/20,2,not found,Contractors - Building,Construction and Renovation Services,33,71.5,2359.5,0,"$98,601 ",92649,Huntington Beach,CA,Yesenia Romero,Yesenia Romero,2359.5,46,108537.0,250+ employees,250-499 employees,9,50,0,33,0,2359.5,12/10/23,Increasing,3407
Leap,x0EyVTdZvU,Timeless Coatings,Tier 2,Premium 2021,0011K00002H3aNe,3412,11/5/23,5/5/22,5,not found,Contractors - Painting,Construction and Renovation Services,7,99,693,0,"$10,298 ",48114,Brighton,MI,Jordan Kahlenberg,Jordan Kahlenberg,693,19,13167.0,250+ employees,250-499 employees,9,3,0,7,0,693,11/28/23,Decreasing,12
Leap,Ty3vKUkLwO,Universal Home Remodeling,Tier 3,Enterprise 2021,0014100000kuDaD,2892,10/19/23,4/19/21,4,not found,Glass Products & Services,Design and Interior Services,252,85,21420,0,"$469,570 ",44146,Oakwood Village,Ohio,Jordan Kahlenberg,Jordan Kahlenberg,21420,32,685440.0,250+ employees,250-499 employees,9,79,0,252,0,21420,12/11/23,Decreasing,35430
Leap,3FqtENviVv,Vytex Windows,Tier 1,Premium 2020,0011K00002LRlyx,2648,11/7/23,8/7/20,8,not found,Glass Products & Services,Design and Interior Services,31,65,2015,2500,"$79,070 ",20723,Laurel,MD,Jordan Kahlenberg,Jordan Kahlenberg,2015,40,80600.0,250+ employees,250-499 employees,9,31,0,31,0,2015,12/10/23,Decreasing,0
Leap,BY1GxPtx3y,Window Nation Inc,Tier 2,Premium 2019,0014100000ERFSm,1876,10/10/23,5/10/19,5,238150,Glass Products & Services,Design and Interior Services,1,123.75,123.75,0,"$14,555 ",20759,Fulton,MD,Francesca Furnells,Francesca Furnells,123.75,55,6806.3,250+ employees,250-499 employees,9,160,0,1,0,123.75,1/0/00,No Change,0
Leap,xuVRmmiwzB,Woodbridge Home Exteriors,Tier 1,Enterprise 2021,0014100000JRPoc,5935,10/12/23,1/12/23,1,not found,Contractors - Building,Construction and Renovation Services,80,65.63,5250.4,0,"$47,254 ",75244,Dallas,TX,Jordan Kahlenberg,Jordan Kahlenberg,5250.4,11,57754.4,250+ employees,250-499 employees,9,44,0,80,0,5250.4,12/11/23,Decreasing,6838
